sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,glim_id,lithology_code,lithology_class,lithology_detail,soil_ph,calcium_extractable,magnesium_extractable,carbon_organic,iron_extractable,distance_to_soil
CB23-46,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,UPUNGU,Groundwater/borehole,-4.7247,33.1646,0.5,7.78,234,134.5,NO,NO,Nitrate: 1.5 ppm,2021 - 2022,2022,long_dry,6.677893393,AFR7274,mt,metamorphic_rocks,mt____,,,,,,73539.05503
CB23-47,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,MAYOMBO,Groundwater/borehole,-4.961767,33.006767,0.01,7.22,187,110,NO,NO,Nitrate: 6.6 ppm,2021 - 2022,2022,long_dry,10.38272705,AFR7274,mt,metamorphic_rocks,mt____,,,,,,87293.90731
CB23-48,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,KIZIGO,Groundwater/borehole,-5.047633,32.8003,0.78,8,345,216,NO,NO,Nitrate: 2.4 ppm,2021 - 2022,2022,long_dry,10.38599956,AFR7274,mt,metamorphic_rocks,mt____,,,,,,90051.65102
CB23-49,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,KWIHARA,Groundwater/borehole,-5.0685,32.785283,0.25,7.55,142,95.7,NO,NO,Nitrate: 1.9 ppm,2021 - 2022,2022,long_dry,11.62921065,AFR7274,mt,metamorphic_rocks,mt____,,,,,,92069.37532
CB23-50,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,KASISI A,Groundwater/borehole,-5.245283,32.723533,0.04,6.8,74,45.6,NO,NO,Nitrate: 7.1 ppm,2021 - 2022,2022,long_dry,14.18339044,AFR7274,mt,metamorphic_rocks,mt____,,,,,,110824.275
CB23-51,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,IBAYA,Groundwater/borehole,-5.317067,32.699567,0.14,7.76,169,100,NO,NO,Nitrate: 1.0 ppm,2021 - 2022,2022,long_dry,13.88592577,AFR7274,mt,metamorphic_rocks,mt____,,,,,,118242.2998
CB23-52,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,UTAWAMBOGO,Groundwater/borehole,-5.4685,32.693767,0.01,7.5,50,38.4,NO,NO,Nitrate: 1.4 ppm,2021 - 2022,2022,long_dry,17.96166727,AFR7274,mt,metamorphic_rocks,mt____,,,,,,134242.2775
CB23-53,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,MKOLYE,Groundwater/borehole,-5.551533,32.705533,0.42,7.39,244,140,NO,NO,Nitrate: 15.5 ppm,2021 - 2022,2022,long_dry,10.5181312,AFR7274,mt,metamorphic_rocks,mt____,,,,,,143467.642
CB23-54,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,CHABUTWA,Groundwater/borehole,-5.687933,32.751567,0.01,7.5,75,50.4,NO,NO,Nitrate: 1.5 ppm,2021 - 2022,2022,long_dry,11.9670229,AFR7274,mt,metamorphic_rocks,mt____,,,,,,136521.4812
CB23-55,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,IPOLE,Groundwater/borehole,-5.7915,32.732033,0.01,7.78,120,101,NO,NO,Nitrate: 7.8 ppm,2021 - 2022,2022,long_dry,11.08460879,AFR7274,mt,metamorphic_rocks,mt____,,,,,,125877.8901
CB23-56,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,TURA,Groundwater/borehole,-5.49225,33.842583,0.23,7.3,110,72.2,NO,NO,Nitrate: 22.9 ppm,2021 - 2022,2022,long_dry,6.573714562,AFR7274,mt,metamorphic_rocks,mt____,,,,,,56223.09313
CB23-57,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,UMOJA,Groundwater/borehole,-5.1267,33.129533,0.01,7.66,297,169,NO,NO,Nitrate: 21.4 ppm,2021 - 2022,2022,long_dry,13.65138169,AFR7274,mt,metamorphic_rocks,mt____,,,,,,105442.1135
CB23-58,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,INALA,Groundwater/borehole,-5.069733,32.930217,0.01,7.78,27,25.6,NO,NO,Nitrate: 14.9 ppm,2021 - 2022,2022,long_dry,10.97887444,AFR7274,mt,metamorphic_rocks,mt____,,,,,,95869.13219
CB23-59,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,KIZIGO,Groundwater/borehole,-5.069733,32.930217,0.78,8,345,216,NO,NO,Nitrate: 2.4 ppm,2021 - 2022,2022,long_dry,10.97887444,AFR7274,mt,metamorphic_rocks,mt____,,,,,,95869.13219
CB23-60,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,KWIHARA,Groundwater/borehole,-5.0685,32.785283,0.25,7.55,142,95.7,NO,NO,Nitrate: 1.9 ppm,2021 - 2022,2022,long_dry,11.62921065,AFR7274,mt,metamorphic_rocks,mt____,,,,,,92069.37532
CB23-61,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,TUMBI,Groundwater/borehole,-5.0753,32.694317,0.01,6.9,131,87.5,NO,NO,Nitrate: 1.3 ppm,2021 - 2022,2022,long_dry,10.57762268,AFR7274,mt,metamorphic_rocks,mt____,,,,,,91900.1656
CB23-62,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,MABAMA,Groundwater/borehole,-5.1212,32.522883,2.11,7.67,1818,935,YES,NO,Nitrate: 44.5 ppm,2021 - 2022,2022,long_dry,16.65789533,AFR7274,mt,metamorphic_rocks,mt____,,,,,,92871.32767
CB23-63,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,MAPINDUZI,Groundwater/borehole,-5.0883,32.317033,0.05,7.08,120,70.9,NO,NO,Nitrate: 39.5 ppm,2021 - 2022,2022,long_dry,14.65534902,AFR7274,mt,metamorphic_rocks,mt____,,,,,,88772.18804
CB23-64,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-EAST-WEST,MWENGE,Groundwater/borehole,-5.071883,32.08325,0.06,6.94,232,143,NO,NO,Nitrate: 42.0 ppm,2021 - 2022,2022,long_dry,12.54055601,AFR7274,mt,metamorphic_rocks,mt____,,,,,,93415.27727
MB18-001,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Akheri - Akeri,Sebala B,Spring,-3.35281,36.77155,1.2,,227,124.85,NO,NO,Elevation: 1451m,January-February 2015,2015,short_dry,66.80241919,AFR9077,vi,intermediate_volcanic_rocks,vi____,,,,,,6180.273224
